YEAR,range_dpp_conservative,range_dpp_expansive,range_turnout_conservative,range_turnout_expansive,attenuation_dpp,attenuation_pct
2016,4.4163658243080555,1.0190464173200686,2.0879120879120916,1.6012558869701765,-3.4,-76.9
2020,7.487160367636591,5.8601096691517025,3.47699050401753,0.6574141709276837,-1.63,-21.7
2024,9.225965143500664,12.331393651605143,1.837944664031621,1.3241106719367624,3.11,33.7
