YEAR,range_dpp_nodirect,range_dpp_full,difference,coding
2016,2.6774296698595434,4.4163658243080555,-1.74,conservative
2020,7.202152370223535,7.487160367636591,-0.29,conservative
2024,8.4157260084796075,9.225965143500664,-0.81,conservative
