YEAR,range_dpp_nodirect,range_dpp_full,inflation
2016,3.80738730309097,4.4163658243080555,-0.61
2020,5.6222533946231446,7.487160367636591,-1.86
2024,8.118767251803572,9.225965143500664,-1.11
