YEAR,Identity,MediaExposure,Tondu,identity_over_media,tondu_over_media,coding
2016,53.45151836571775,4.4163658243080555,31.634689687994832,12.1,7.16,conservative
2020,58.26673821914749,7.487160367636591,41.097942968826814,7.78,5.49,conservative
2024,55.22413679276424,9.225965143500664,31.243831795882265,5.99,3.39,conservative
2016,52.61094097891194,1.0190464173200686,31.52957693351592,51.63,30.94,expansive
2020,57.70345593544818,5.8601096691517025,40.77000162470361,9.85,6.96,expansive
2024,54.44584713113922,12.331393651605143,31.78476008664688,4.42,2.58,expansive
