YEAR,regime_var,range_turnout,range_dpp,coding
2016,Identity,8.649921507064363,53.45151836571775,conservative
2016,MediaExposure,2.0879120879120916,4.4163658243080555,conservative
2016,Tondu,2.0722135007849363,31.634689687994832,conservative
2020,Identity,11.979547114682243,58.26673821914749,conservative
2020,MediaExposure,3.47699050401753,7.487160367636591,conservative
2020,Tondu,6.9539810080350595,41.097942968826814,conservative
2024,Identity,20.513833992094867,55.22413679276424,conservative
2024,MediaExposure,1.837944664031621,9.225965143500664,conservative
2024,Tondu,7.470355731225298,31.243831795882265,conservative
