YEAR,Identity,MediaExposure,Tondu,identity_over_media,tondu_over_media,coding
2016,53.45151836571775,4.4163658243080555,31.634689687994832,12.1,7.16,conservative
2020,58.26673821914749,7.487160367636591,41.097942968826814,7.78,5.49,conservative
2024,55.22413679276424,9.225965143500664,31.243831795882265,5.99,3.39,conservative
